Source,Target,Type,weight,book
Dareon,Samwell-Tarly,Undirected,26,4
Dareon,Lanna-(Happy-Port),Undirected,4,4
Gilly,Jon-Snow,Undirected,25,4
Gilly,Samwell-Tarly,Undirected,49,4
Gilly,Kojja-Mo,Undirected,7,4
Gilly,Melisandre,Undirected,7,4
Gilly,Mance-Rayder,Undirected,3,4
Jon-Snow,Samwell-Tarly,Undirected,45,4
Jon-Snow,Sansa-Stark,Undirected,3,4
Jon-Snow,Stannis-Baratheon,Undirected,79,4
Jon-Snow,Robb-Stark,Undirected,13,4
Jon-Snow,Melisandre,Undirected,48,4
Jon-Snow,Pypar,Undirected,5,4
Jon-Snow,Qhorin-Halfhand,Undirected,3,4
Jon-Snow,Sigorn,Undirected,6,4
Jon-Snow,Satin,Undirected,15,4
Jon-Snow,Mance-Rayder,Undirected,25,4
Jon-Snow,Tycho-Nestoris,Undirected,12,4
Jon-Snow,Selyse-Florent,Undirected,38,4
Jon-Snow,Shireen-Baratheon,Undirected,4,4
Jon-Snow,Narbert-Grandison,Undirected,3,4
Jon-Snow,Othell-Yarwyck,Undirected,10,4
Jon-Snow,Tormund,Undirected,50,4
Jon-Snow,Wick-Whittlestick,Undirected,5,4
Jon-Snow,Malegorn,Undirected,5,4
Jon-Snow,Mully,Undirected,14,4
Jon-Snow,Val,Undirected,37,4
Jon-Snow,Leathers,Undirected,18,4
Jon-Snow,Rory,Undirected,6,4
Jon-Snow,Owen,Undirected,3,4
Jon-Snow,Patrek-of-Kings-Mountain,Undirected,7,4
Jon-Snow,Rattleshirt,Undirected,23,4
Jon-Snow,Soren-Shieldbreaker,Undirected,3,4
Jon-Snow,Tom-Barleycorn,Undirected,4,4
Jon-Snow,Toregg,Undirected,6,4
Jon-Snow,Ulmer,Undirected,3,4
Jon-Snow,Weeper,Undirected,3,4
Jon-Snow,Wun-Weg-Wun-Dar-Wun,Undirected,11,4
Jon-Snow,Ygritte,Undirected,14,4
Samwell-Tarly,Stannis-Baratheon,Undirected,19,4
Samwell-Tarly,Xhondo,Undirected,18,4
Samwell-Tarly,Theobald,Undirected,7,4
Aeron-Greyjoy,Asha-Greyjoy,Undirected,7,4
Aeron-Greyjoy,Baelor-Blacktyde,Undirected,4,4
Aeron-Greyjoy,Balon-Greyjoy,Undirected,17,4
Aeron-Greyjoy,Dunstan-Drumm,Undirected,4,4
