Source,Target,Type,id,label,timeset,weight,book
Chella,Varys,Undirected,288,,,4.0,2
Chett,Jon-Snow,Undirected,289,,,5.0,2
Chiswyck,Dunsen,Undirected,290,,,3.0,2
Chiswyck,Gregor-Clegane,Undirected,291,,,4.0,2
Chiswyck,Ilyn-Payne,Undirected,292,,,3.0,2
Chiswyck,Joffrey-Baratheon,Undirected,293,,,3.0,2
Chiswyck,Meryn-Trant,Undirected,294,,,3.0,2
Chiswyck,Polliver,Undirected,295,,,4.0,2
Chiswyck,Rafford,Undirected,296,,,7.0,2
Chiswyck,Sandor-Clegane,Undirected,297,,,3.0,2
Chiswyck,Tickler,Undirected,298,,,5.0,2
Chiswyck,Weese,Undirected,299,,,6.0,2
Cleos-Frey,Eddard-Stark,Undirected,300,,,3.0,2
Cleos-Frey,Jaime-Lannister,Undirected,301,,,3.0,2
Cleos-Frey,Robb-Stark,Undirected,302,,,11.0,2
Cleos-Frey,Tyrion-Lannister,Undirected,303,,,13.0,2
Cley-Cerwyn,Donella-Hornwood,Undirected,304,,,3.0,2
Cley-Cerwyn,Rodrik-Cassel,Undirected,305,,,4.0,2
Colen-of-Greenpools,Renly-Baratheon,Undirected,306,,,3.0,2
Cortnay-Penrose,Davos-Seaworth,Undirected,307,,,5.0,2
Cortnay-Penrose,Renly-Baratheon,Undirected,308,,,3.0,2
Cortnay-Penrose,Stannis-Baratheon,Undirected,309,,,18.0,2
Cortnay-Penrose,Tyrion-Lannister,Undirected,310,,,3.0,2
Cortnay-Penrose,Varys,Undirected,311,,,3.0,2
Craster,Dywen,Undirected,312,,,7.0,2
Craster,Eddison-Tollett,Undirected,313,,,3.0,2
Craster,Jeor-Mormont,Undirected,314,,,19.0,2
Craster,Jon-Snow,Undirected,315,,,26.0,2
Craster,Mance-Rayder,Undirected,316,,,4.0,2
Craster,Samwell-Tarly,Undirected,317,,,10.0,2
Craster,Thoren-Smallwood,Undirected,318,,,4.0,2
Cressen,Davos-Seaworth,Undirected,319,,,10.0,2
Cressen,Melisandre,Undirected,320,,,7.0,2
Cressen,Patchface,Undirected,321,,,8.0,2
Cressen,Pylos,Undirected,322,,,17.0,2
Cressen,Renly-Baratheon,Undirected,323,,,4.0,2
Cressen,Robert-Baratheon,Undirected,324,,,4.0,2
Cressen,Selyse-Florent,Undirected,325,,,3.0,2
Cressen,Shireen-Baratheon,Undirected,326,,,6.0,2
Cressen,Stannis-Baratheon,Undirected,327,,,21.0,2
Cutjack,Gendry,Undirected,328,,,3.0,2
Cutjack,Kurz,Undirected,329,,,4.0,2
Cutjack,Tarber,Undirected,330,,,3.0,2
Daenerys-Targaryen,Doreah,Undirected,331,,,3.0,2
Daenerys-Targaryen,Drogo,Undirected,332,,,8.0,2
Daenerys-Targaryen,Irri,Undirected,333,,,6.0,2
Daenerys-Targaryen,Jhiqui,Undirected,334,,,7.0,2
Daenerys-Targaryen,Jhogo,Undirected,335,,,12.0,2
Daenerys-Targaryen,Jorah-Mormont,Undirected,336,,,29.0,2
Daenerys-Targaryen,Lynesse-Hightower,Undirected,337,,,3.0,2
Daenerys-Targaryen,Mirri-Maz-Duur,Undirected,338,,,3.0,2
Daenerys-Targaryen,Pono,Undirected,339,,,4.0,2
Daenerys-Targaryen,Pyat-Pree,Undirected,340,,,14.0,2
Daenerys-Targaryen,Quaithe,Undirected,341,,,5.0,2
Daenerys-Targaryen,Rakharo,Undirected,342,,,4.0,2
Daenerys-Targaryen,Robert-Baratheon,Undirected,343,,,4.0,2
Daenerys-Targaryen,Viserys-Targaryen,Undirected,344,,,3.0,2
Daenerys-Targaryen,Xaro-Xhoan-Daxos,Undirected,345,,,13.0,2
Dagmer,Rodrik-Cassel,Undirected,346,,,3.0,2
Dagmer,Theon-Greyjoy,Undirected,347,,,7.0,2
Dalbridge,Ebben,Undirected,348,,,4.0,2
Dalbridge,Jon-Snow,Undirected,349,,,4.0,2
Dalbridge,Qhorin-Halfhand,Undirected,350,,,5.0,2
Davos-Seaworth,Devan-Seaworth,Undirected,351,,,4.0,2
Davos-Seaworth,Imry-Florent,Undirected,352,,,3.0,2
Davos-Seaworth,Matthos-Seaworth,Undirected,353,,,3.0,2
Davos-Seaworth,Melisandre,Undirected,354,,,20.0,2
Davos-Seaworth,Monford-Velaryon,Undirected,355,,,3.0,2
Davos-Seaworth,Pylos,Undirected,356,,,9.0,2
Davos-Seaworth,Renly-Baratheon,Undirected,357,,,6.0,2
Davos-Seaworth,Salladhor-Saan,Undirected,358,,,8.0,2
Davos-Seaworth,Stannis-Baratheon,Undirected,359,,,58.0,2
Desmond-Grell,Edmure-Tully,Undirected,360,,,4.0,2
Desmond-Grell,Utherydes-Wayn,Undirected,361,,,3.0,2
Devan-Seaworth,Renly-Baratheon,Undirected,362,,,3.0,2
Devan-Seaworth,Stannis-Baratheon,Undirected,363,,,13.0,2
Dolf,Shagga,Undirected,364,,,3.0,2
Donella-Hornwood,Leobald-Tallhart,Undirected,365,,,3.0,2
Donella-Hornwood,Luwin,Undirected,366,,,7.0,2
Donella-Hornwood,Mors-Umber,Undirected,367,,,3.0,2
Donella-Hornwood,Ramsay-Snow,Undirected,368,,,3.0,2
Donella-Hornwood,Rodrik-Cassel,Undirected,369,,,4.0,2
Dontos-Hollard,Joffrey-Baratheon,Undirected,370,,,8.0,2
Dontos-Hollard,Moon-Boy,Undirected,371,,,5.0,2
Dontos-Hollard,Sansa-Stark,Undirected,372,,,17.0,2
Dontos-Hollard,Stannis-Baratheon,Undirected,373,,,3.0,2
Dontos-Hollard,Tyrion-Lannister,Undirected,374,,,4.0,2
Doran-Martell,Myrcella-Baratheon,Undirected,375,,,4.0,2
Doran-Martell,Tyrion-Lannister,Undirected,376,,,3.0,2
Doran-Martell,Varys,Undirected,377,,,4.0,2
Drennan,Squint,Undirected,378,,,3.0,2
Drennan,Theon-Greyjoy,Undirected,379,,,3.0,2
Drogo,Jorah-Mormont,Undirected,380,,,4.0,2
Drogo,Pono,Undirected,381,,,4.0,2
Drogo,Viserys-Targaryen,Undirected,382,,,3.0,2
Dunsen,Gregor-Clegane,Undirected,383,,,4.0,2
Dunsen,Ilyn-Payne,Undirected,384,,,3.0,2
Dunsen,Joffrey-Baratheon,Undirected,385,,,3.0,2
Dunsen,Meryn-Trant,Undirected,386,,,3.0,2
Dunsen,Polliver,Undirected,387,,,7.0,2
Dunsen,Rafford,Undirected,388,,,6.0,2
Dunsen,Sandor-Clegane,Undirected,389,,,3.0,2
Dunsen,Tickler,Undirected,390,,,3.0,2
Dunsen,Weese,Undirected,391,,,3.0,2
Dywen,Grenn,Undirected,392,,,8.0,2
Dywen,Jon-Snow,Undirected,393,,,9.0,2
Ebben,Jon-Snow,Undirected,394,,,10.0,2
Ebben,Qhorin-Halfhand,Undirected,395,,,8.0,2
Ebben,Stonesnake,Undirected,396,,,4.0,2
Eddard-Stark,Ilyn-Payne,Undirected,397,,,5.0,2
Eddard-Stark,Janos-Slynt,Undirected,398,,,7.0,2
Eddard-Stark,Joffrey-Baratheon,Undirected,399,,,9.0,2
Eddard-Stark,Jon-Snow,Undirected,400,,,9.0,2
Eddard-Stark,Luwin,Undirected,401,,,3.0,2
Eddard-Stark,Maron-Greyjoy,Undirected,402,,,3.0,2
Eddard-Stark,Petyr-Baelish,Undirected,403,,,4.0,2
Eddard-Stark,Renly-Baratheon,Undirected,404,,,5.0,2
Eddard-Stark,Rickon-Stark,Undirected,405,,,3.0,2
Eddard-Stark,Robb-Stark,Undirected,406,,,11.0,2
Eddard-Stark,Robert-Baratheon,Undirected,407,,,26.0,2
Eddard-Stark,Stannis-Baratheon,Undirected,408,,,5.0,2
Eddard-Stark,Theon-Greyjoy,Undirected,409,,,17.0,2
Eddard-Stark,Tyrion-Lannister,Undirected,410,,,12.0,2
Eddard-Stark,Varys,Undirected,411,,,3.0,2
Eddison-Tollett,Jeor-Mormont,Undirected,412,,,4.0,2
Eddison-Tollett,Jon-Snow,Undirected,413,,,11.0,2
Edmure-Tully,Hoster-Tully,Undirected,414,,,3.0,2
Edmure-Tully,Jaime-Lannister,Undirected,415,,,3.0,2
Edmure-Tully,Robb-Stark,Undirected,416,,,12.0,2
Edmure-Tully,Tywin-Lannister,Undirected,417,,,8.0,2
Eldon-Estermont,Steffon-Varner,Undirected,418,,,3.0,2
Emmon-Cuy,Renly-Baratheon,Undirected,419,,,3.0,2
Emmon-Cuy,Robar-Royce,Undirected,420,,,3.0,2
Euron-Greyjoy,Theon-Greyjoy,Undirected,421,,,4.0,2
Farlen,Theon-Greyjoy,Undirected,422,,,6.0,2
Florian-the-Fool,Jonquil,Undirected,423,,,8.0,2
